Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,Old Rank Adj,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Wajima,Y1w,Y1e,N/A,1,1,0,-29,15,-29,186.36419999999998,8,17.4161
Kitanoumi,Y1e,Y1w,N/A,0,0,1,-22,13,-23,161.18139999999997,8,15.595100000000002
Wakamisugi,O1e,O1e,N/A,2,2,2,-8,10,-10,111.9318,5,9.0469
Asahikuni,O2e,O1w,N/A,4,4,3,-2,9,-5,104.8103,5,8.7263
Takanohana,O1w,O2e,N/A,3,3,4,1,8,-3,84.7643,5,8.0328
Mienoumi,O3e,O2w,N/A,6,6,5,4,8,-1,94.0667,4,7.4508
Kaiketsu,O2w,O3e,M1e,5,5,6,11,6,5,62.864200000000004,4,7.4508
Washuyama,M1w,S1e,N/A,12,12,7,6,9,-1,100.63630000000002,4,7.4508
Arase,K1e,S1w,N/A,9,9,8,7,8,-1,90.2964,3,5.4818
Takamiyama,M2w,K1e,N/A,14,14,9,8,9,-1,94.38999999999999,4,7.4508
Tamanofuji,M1e,K1w,N/A,11,11,10,9,8,-1,84.0932,4,8.144300000000001
Masuiyama,M2e,M1e,M1e,13,13,11,11,8,0,87.1976,5,10.061
Oshio,M5w,M1w,M4w,20,20,12,18,8,6,68.3976,2,4.5792
Kaneshiro,S1w,M2e,M4w,8,8,13,18,5,5,48.49750000000001,3,5.1612
Kaiki,M8w,M2w,M5w,26,26,14,20,9,6,67.73759999999999,0,0
Wakajishi,M6w,M3e,M5w,22,22,15,20,8,5,64.9614,1,1.5961
Fujizakura,K1w,M3w,M5w,10,10,16,20,5,4,59.8287,2,3.5651
Kurama,M7e,M4e,M6e,23,23,17,21,8,4,65.29849999999999,0,0
Yutakayama,M3e,M4w,M6e,15,15,18,21,6,3,57.19990000000001,2,3.8857
Kirinji,M9w,M5e,M6w,28,28,19,22,9,3,68.0392,0,0
Kotokaze,M7w,M5w,M6w,24,24,20,22,8,2,62.353999999999985,0,0
Aobajo,M3w,M6e,M6w,16,16,21,22,6,1,47.154399999999995,1,1.5961
Aobayama,M10e,M6w,M7e,29,29,22,23,9,1,69.1856,0,0
Takanosato,M8e,M7e,M7e,25,25,23,23,8,0,53.688199999999995,0,0
Wakanoumi,M5e,M7w,M8e,19,19,24,25,6,1,47.050200000000004,1,1.5961
Kurohimeyama,S1e,M8e,M8e,7,7,25,25,3,0,41.778999999999996,2,5.0655
Onobori,M12e,M8w,M9e,33,33,26,27,9,1,67.83720000000001,0,0
Tochiakagi,M4e,M9e,M9e,17,17,27,27,5,0,44.870599999999996,1,1.2755
Daio,M10w,M9w,M9w,30,30,28,28,8,0,68.94399999999999,0,0
Kitaseumi,M4w,M10e,M9w,18,18,29,28,5,-1,38.3707,1,1.5961
Onishiki,J2e,M10w,M7w,38,38,30,24,11,-6,96.0002,0,0
Banryuyama,M6e,M11e,M11e,21,21,31,31,5,0,34.040499999999994,0,0
Masudayama,M13e,M11w,M12e,35,35,32,33,8,1,67.75040000000001,0,0
Iwashita,M11w,M12e,M12w,32,32,33,34,7,1,58.36779999999999,0,0
Futatsuryu,J4e,M12w,M11w,42,42,34,32,10,-2,75.0128,0,0
Tamakiyama,J1e,M13e,M12w,36,36,35,34,8,-1,59.0129,0,0
Dewanohana,J3e,M13w,M14w,40,40,36,38,8,2,61.002900000000004,0,0
Misugiiso,J5e,M14e,J1e,44,44,37,42,8,5,65,0,0
Chiyozakura,J5w,M14w,J1w,45,45,38,43,8,5,66.0002,0,0
Onoumi,J2w,M15e,M16e,39,39,39,41,7,2,63.023300000000006,0,0
Kotogatake,M11e,M15w,J4w,31,31,40,49,3,9,24.046799999999998,0,0
Hachiya,J6e,M16e,J2e,46,46,41,44,8,3,52.012699999999995,0,0
Yamaguchi,J6w,J1e,J2w,47,47,42,45,8,3,66.0001,0,0
Adachi,J4w,J1w,J2w,43,43,43,45,7,2,44.003099999999996,0,0
Dairyugawa,J7e,J2e,J3e,48,48,44,46,8,2,70.0001,0,0
Daigo,M12w,J2w,J6e,34,34,45,52,3,7,19.6161,0,0
Haguroiwa,M9e,J3e,J6w,27,27,46,53,1,7,7.632599999999999,0,0
Kiyonohana,J8e,J3w,J4e,50,50,47,48,8,1,53.0001,0,0
Katsunishiki,J9e,J4e,J5e,52,52,48,50,8,2,55.0001,0,0
Chiyonofuji,J9w,J4w,J5w,53,53,49,51,8,2,58.0001,0,0
Kotonofuji,J1w,J5e,J5w,37,37,50,51,4,1,27.0127,0,0
Asanobori,J10e,J5w,J6e,54,54,51,52,8,1,70.0002,0,0
Tochiisami,J10w,J6e,J6w,55,55,52,53,8,1,60.0004,0,0
Konuma,J13e,J6w,J7e,60,60,53,54,9,1,55,0,0
Suiryu,J13w,J7e,J7w,61,61,54,55,9,1,69,0,0
Ushiwakamaru,J11w,J7w,J7w,57,57,55,55,8,0,66.0002,0,0
Owashi,J7w,J8e,J7w,49,49,56,55,6,-1,42.000299999999996,0,0
Daishin,J12e,J8w,J8e,58,58,57,56,8,-1,43,0,0
Taiko,J12w,J9e,J8w,59,59,58,57,8,-1,55.0001,0,0
Ryumon,J3w,J9w,J7w,41,41,59,55,4,-4,28.0029,0,0
Mitsuruyama,J11e,J10e,J9e,56,56,60,58,7,-2,38.0001,0,0
Kurosegawa,J8w,J10w,N/A,51,51,61,73,2,12,10.0001,0,0
