Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,Old Rank Adj,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Kakuryu,Y1w,Y1e,N/A,1,1,0,-25,14,-25,174.6027,9,20.192
Harumafuji,Y1e,Y1w,N/A,0,0,1,-14,11,-15,111.43849999999999,5,9.0469
Hakuho,Y2e,Y2e,N/A,2,2,2,-12,11,-14,121.4606,7,14.112400000000001
Kisenosato,O1w,O1e,N/A,4,4,3,-14,12,-17,168.1026,7,18.5002
Goeido,O1e,O1w,N/A,3,3,4,-3,9,-7,90.38119999999999,4,7.4508
Terunofuji,O2w,O2e,N/A,6,6,5,4,8,-1,81.755,4,8.9512
Kotoshogiku,O2e,O2w,M3e,5,5,6,15,5,9,39.85509999999999,1,1.5961
Tamawashi,K1w,S1e,N/A,10,10,7,0,10,-7,114.5772,6,13.850999999999999
Shodai,M3w,S1w,N/A,16,16,8,2,11,-6,113.90419999999997,1,2.2896
Takayasu,S1e,K1e,N/A,7,7,9,9,7,0,67.4016,4,7.4508
Tochinoshin,M6w,K1w,M1w,22,22,10,12,10,2,102.56279999999998,1,2.2896
Takarafuji,M5w,M1e,M2w,20,20,11,14,9,3,83.5386,0,0
Mitakeumi,K1e,M1w,M3e,9,9,12,15,6,3,57.44070000000001,3,5.1612
Arawashi,M10w,M2e,M3w,30,30,13,16,11,3,95.45649999999998,0,0
Ikioi,M8w,M2w,M3w,26,26,14,16,10,2,81.4815,0,0
Endo,M3e,M3e,M4e,15,15,15,17,7,2,89.27959999999999,5,12.2549
Takekaze,M7e,M3w,M4e,23,23,16,17,9,1,71.60650000000001,0,0
Tochiozan,M1e,M4e,M4e,11,11,17,17,6,0,68.1385,3,4.467700000000001
Shohozan,M5e,M4w,M4e,19,19,18,17,8,-1,60.6625,0,0
Okinoumi,S1w,M5e,M4w,8,8,19,18,5,-1,43.0998,1,2.2896
Yoshikaze,M2w,M5w,M5w,14,14,20,20,6,0,65.8309,3,5.1612
Chiyoshoma,M10e,M6e,M7e,29,29,21,23,9,2,67.1394,0,0
Kotoyuki,M4e,M6w,M7e,17,17,22,23,6,1,44.643800000000006,0,0
Myogiryu,M9e,M7e,M8e,27,27,23,25,8,2,61.16689999999999,0,0
Hokutofuji,M11w,M7w,M8w,32,32,24,26,9,2,63.0477,0,0
Aoiyama,M1w,M8e,M8w,12,12,25,26,4,1,32.378,2,3.8857
Chiyonokuni,M4w,M8w,M9w,18,18,26,28,5,2,37.5693,0,0
Sato,J3w,M9e,M10e,47,47,27,29,12,2,101,0,0
Ishiura,M15e,M9w,M10e,39,39,28,29,10,1,80.0309,0,0
Takanoiwa,M7w,M10e,M10w,24,24,29,30,6,1,41.1189,0,0
Sokokurai,M14e,M10w,M11e,37,37,30,31,9,1,75.0817,0,0
Kaisei,M2e,M11e,M11e,13,13,31,31,3,0,23.3679,1,1.2755
Kagayaki,M9w,M11w,M12w,28,28,32,34,6,2,45.3602,0,0
Daishomaru,M12e,M12e,M13e,33,33,33,35,7,2,52.049200000000006,0,0
Nishikigi,M6e,M12w,M13e,21,21,34,35,4,1,22.097099999999998,0,0
Gagamaru,M16e,M13e,M15e,41,41,35,39,8,4,63.361399999999996,0,0
Ichinojo,M13w,M13w,M14w,36,36,36,38,7,2,46.227599999999995,0,0
Chiyootori,M12w,M14e,M15w,34,34,37,40,6,3,53.0681,0,0
Chiyotairyu,M14w,M14w,M15w,38,38,38,40,7,2,44.025299999999994,0,0
Chiyoo,J2w,M15e,J1w,45,45,39,43,8,4,70,0,0
Sadanoumi,M8e,M15w,J1w,25,25,40,43,3,3,26.345399999999998,0,0
Osunaarashi,J6e,M16e,J3e,52,52,41,46,9,5,73,0,0
Toyohibiki,M15w,J1e,J3e,40,40,42,46,6,4,48.0526,0,0
Hidenoumi,M13e,J1w,J4w,35,35,43,49,4,6,29.0139,0,0
Kyokushuho,M11e,J2e,J4w,31,31,44,49,3,5,16.0065,0,0
