Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,Old Rank Adj,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Kakuryu,Y1e,Y1e,M5e,0,0,0,18,3,18,21.1995,1,1.2755
Hakuho,Y1w,Y1w,M5w,1,1,1,19,3,18,27.931800000000003,1,1.2755
Kisenosato,Y2e,Y2e,M12e,2,2,2,32,0,30,0,0,0
Goeido,O1e,O1e,N/A,3,3,3,-7,10,-10,101.92569999999999,3,4.8406
Takayasu,O1w,O1w,N/A,4,4,4,-2,9,-6,89.2567,3,4.1471
Tochinoshin,O2w,O2e,M3w,5,5,5,15,5,10,48.8816,1,1.2755
Mitakeumi,S1w,S1e,N/A,7,7,6,-15,13,-21,136.1135,3,4.8406
Ichinojo,S1e,S1w,N/A,6,6,7,4,8,-3,79.6084,2,4.5792
Takakeisho,M3w,K1e,N/A,15,15,8,5,10,-3,102.2935,3,6.1753
Tamawashi,K1e,K1w,N/A,8,8,9,6,8,-3,82.38440000000001,3,5.1612
Yutakayama,M9w,M1e,N/A,27,27,10,9,12,-1,116.01229999999998,2,3.8857
Ikioi,M2e,M1w,M1e,12,12,11,10,8,-1,73.14489999999999,3,6.341
Kaisei,M4e,M2e,M1e,16,16,12,10,9,-2,95.71779999999998,2,3.8857
Chiyotairyu,M6w,M2w,M3w,21,21,13,15,9,2,75.9476,2,2.8716
Shodai,M1e,M3e,M4e,10,10,14,16,6,2,47.0664,2,4.5792
Endo,M6e,M3w,M5e,20,20,15,18,8,3,67.0778,0,0
Chiyonokuni,M2w,M4e,M5w,13,13,16,19,6,3,59.14559999999999,4,11.4657
Myogiryu,M9e,M4w,M6e,26,26,17,20,9,3,71.714,0,0
Abi,M3e,M5e,M6e,14,14,18,20,6,2,46.583,2,5.0655
Asanoyama,M13w,M5w,M6w,35,35,19,21,11,2,89.38059999999999,0,0
Onosho,M11w,M6e,M6w,31,31,20,21,10,1,80.9904,0,0
Kagayaki,M4w,M6w,M7w,17,17,21,23,6,2,41.9119,1,1.2755
Tochiozan,M13e,M7e,M8e,34,34,22,24,10,2,93.70650000000002,1,1.2755
Takarafuji,M7e,M7w,M8e,22,22,23,24,7,1,48.9105,0,0
Hokutofuji,M16e,M8e,M9e,40,40,24,26,11,2,93.94569999999999,0,0
Takanoiwa,J3w,M8w,M6w,47,47,25,21,14,-4,117.0006,0,0
Shohozan,K1w,M9e,M9w,9,9,26,27,3,1,36.8174,1,1.5961
Aoiyama,M11e,M9w,M10e,30,30,27,28,8,1,65.9391,0,0
Daishomaru,M5e,M10e,M10e,18,18,28,28,5,0,30.2473,1,1.2755
Daieisho,M7w,M10w,M10w,23,23,29,29,6,0,40.326499999999996,0,0
Kotoshogiku,M1w,M11e,M10w,11,11,30,29,3,-1,31.7767,3,5.1612
Sadanoumi,M12e,M11w,M11e,32,32,31,30,8,-1,55.3069,0,0
Kyokutaisei,M8w,M12e,M11w,25,25,32,31,6,-1,42.186899999999994,0,0
Takanosho,J4e,M12w,M9e,48,48,33,26,13,-7,112,0,0
Okinoumi,M14w,M13e,M13w,37,37,34,35,8,1,53.029099999999985,0,0
Nishikigi,M10w,M13w,M13w,29,29,35,35,6,0,50.0699,0,0
Ryuden,M15w,M14e,M14w,39,39,36,37,8,1,58.027899999999995,0,0
Chiyomaru,M10e,M14w,M15e,28,28,37,38,5,1,41.1961,0,0
Chiyoshoma,M8e,M15e,M15e,24,24,38,38,4,0,23.5838,0,0
Ishiura,M15e,M15w,M16e,38,38,39,40,7,1,52.038399999999996,0,0
Yoshikaze,M5w,M16e,M16w,19,19,40,41,2,1,12.0581,1,1.2755
Kotoyuki,J3e,M16w,M14e,46,46,41,36,10,-5,86.0019,0,0
Arawashi,M12w,J1e,J1w,33,33,42,43,5,1,32.0213,0,0
Meisei,M16w,J1w,J3w,41,41,43,47,6,4,46.0169,0,0
Aminishiki,J4w,J2e,J1w,49,49,44,43,9,-1,63,0,0
Yago,J8w,J2w,J3w,57,57,45,47,10,2,80,0,0
Daishoho,J5e,J3e,J4e,50,50,46,48,8,2,62,0,0
Kotoeko,M14e,J3w,J7e,36,36,47,54,3,7,23.2914,0,0
Akiseyama,J1w,J4e,J4w,43,43,48,49,6,1,53,0,0
Daiamami,J2e,J4w,J5e,44,44,49,50,6,1,44,0,0
Kyokushuho,J6w,J5e,J5w,53,53,50,51,8,1,67,0,0
Takagenji,J2w,J5w,J5w,45,45,51,51,6,0,45.001400000000004,0,0
Hidenoumi,J5w,J6e,J6w,51,51,52,53,7,1,48,0,0
Chiyonoo,J11e,J6w,J8e,62,62,53,56,9,3,62,0,0
Tsurugisho,J7e,J7e,J8e,54,54,54,56,7,2,51,0,0
Takekaze,J1e,J7w,J8e,42,42,55,56,4,1,25.0002,0,0
Wakatakakage,J12e,J8e,J9e,64,64,56,58,9,2,68,0,0
Shimanoumi,J8e,J8w,J9e,56,56,57,58,7,1,47,0,0
Seiro,J6e,J9e,J9e,52,52,58,58,6,0,44,0,0
Terutsuyoshi,J10w,J9w,J9w,61,61,59,59,8,0,64,0,0
Tokushoryu,J9e,J10e,J10e,58,58,60,60,7,0,49,0,0
Tobizaru,J13w,J10w,J10w,67,67,61,61,9,0,65,0,0
Mitoryu,J11w,J11e,J10w,63,63,62,61,8,-1,58,0,0
Gagamaru,J9w,J11w,J10w,59,59,63,61,7,-2,50,0,0
Chiyonoumi,J12w,J12e,J11w,65,65,64,63,8,-1,44,0,0
Azumaryu,J7w,J12w,J12w,55,55,65,65,5,0,42,0,0
Kizenryu,J13e,J13e,N/A,66,66,66,72,6,6,47,0,0
Churanoumi,J14w,J13w,N/A,69,69,67,79,5,12,33,0,0
Homarefuji,J14e,J14e,N/A,68,68,68,86,3,18,12,0,0
Sokokurai,J10e,J14w,N/A,60,60,69,90,0,21,0,0,0
