Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,Old Rank Adj,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Hakuho,Y1e,Y1e,N/A,0,0,0,-26,14,-26,172.348,6,12.516300000000001
Harumafuji,Y1w,Y1w,N/A,1,1,1,-13,11,-14,129.39100000000002,5,9.0469
Kisenosato,Y2e,Y2e,M7w,2,2,2,24,2,22,19.2476,0,0
Kakuryu,Y2w,Y2w,M8e,3,3,3,25,2,22,25.0768,1,1.2755
Takayasu,O2e,O1e,N/A,6,6,4,0,9,-4,103.1851,3,5.1612
Goeido,O1w,O1w,N/A,5,5,5,7,7,2,77.1499,1,1.5961
Terunofuji,O1e,O2e,M10w,4,4,6,30,1,24,7.8822,0,0
Mitakeumi,S1w,S1e,N/A,8,8,7,2,9,-5,125.89390000000002,5,11.7271
Tochiozan,M5w,S1w,N/A,20,20,8,2,12,-6,109.796,3,5.4818
Aoiyama,M8e,K1e,N/A,25,25,9,3,13,-6,115.72370000000004,1,1.2755
Yoshikaze,K1e,K1w,N/A,9,9,10,3,9,-7,105.24229999999999,5,13.7553
Tochinoshin,M2e,M1e,N/A,13,13,11,7,9,-4,103.213,5,10.5473
Tamawashi,S1e,M1w,N/A,7,7,12,9,7,-3,68.6946,4,8.144300000000001
Onosho,M6w,M2e,M1w,22,22,13,12,10,-1,99.48340000000002,1,1.2755
Hokutofuji,M2w,M2w,M1w,14,14,14,12,8,-2,77.92999999999999,5,11.2408
Kotoshogiku,K1w,M3e,M1w,10,10,15,12,7,-3,76.4078,4,9.6447
Chiyotairyu,M10e,M3w,M5e,29,29,16,19,10,3,85.15369999999999,0,0
Ura,M4e,M4e,M5e,17,17,17,19,7,2,73.8907,1,3.79
Shohozan,M10w,M4w,M5w,30,30,18,20,10,2,84.3084,0,0
Shodai,M1e,M5e,M6e,11,11,19,21,5,2,51.52420000000001,3,7.6757
Takakeisho,M1w,M5w,M6w,12,12,20,22,5,2,48.974900000000005,3,5.1612
Ichinojo,M6e,M6e,M7e,21,21,21,23,7,2,50.127399999999994,0,0
Ishiura,M8w,M6w,M9w,26,26,22,28,7,6,65.8631,0,0
Kagayaki,M4w,M7e,M9w,18,18,23,28,5,5,44.460800000000006,0,0
Takarafuji,M13e,M7w,M10e,35,35,24,29,9,5,73.09000000000002,0,0
Chiyonokuni,M11e,M8e,M10e,31,31,25,29,8,4,55.1502,0,0
Takanoiwa,M7e,M8w,M10e,23,23,26,29,6,3,43.987500000000004,0,0
Chiyoshoma,M5e,M9e,M10e,19,19,27,29,5,2,39.507600000000004,1,2.2896
Ikioi,M3e,M9w,M10e,15,15,28,29,4,1,33.801899999999996,1,3.79
Arawashi,M12e,M10e,M11e,33,33,29,31,8,2,56.03099999999999,0,0
Kaisei,J1e,M10w,M11w,42,42,30,32,10,2,80.0001,0,0
Takekaze,M12w,M11e,M11w,34,34,31,32,8,1,63.03909999999999,0,0
Daiamami,J8e,M11w,M12w,56,56,32,34,13,2,125,0,0
Daishomaru,M11w,M12e,M12w,32,32,33,34,7,1,59.0881,0,0
Chiyomaru,M15w,M12w,M12w,40,40,34,34,9,0,59.07,0,0
Daieisho,M7w,M13e,M12w,24,24,35,34,5,-1,39.89229999999999,0,0
Sadanoumi,M14e,M13w,M13e,37,37,36,35,8,-1,59.1066,0,0
Yutakayama,J5e,M14e,M13w,50,50,37,36,11,-1,95,0,0
Asanoyama,J5w,M14w,M14e,51,51,38,37,11,-1,96,0,0
Nishikigi,M15e,M15e,M14e,39,39,39,37,8,-2,60.3325,0,0
Myogiryu,J4e,M15w,M14w,48,48,40,38,10,-2,78,0,0
Okinoumi,M9w,M16e,M14w,28,28,41,38,5,-3,33.33749999999999,0,0
Endo,M3w,J1e,M14w,16,16,42,38,2,-4,13.342799999999999,0,0
Aminishiki,J4w,J1w,M15e,49,49,43,39,10,-4,83,0,0
Tokushoryu,M9e,J2e,M16e,27,27,44,41,4,-3,31.222499999999997,0,0
Sokokurai,M13w,J2w,J1e,36,36,45,42,6,-3,48.3208,0,0
Azumaryu,J3e,J3e,J2e,46,46,46,44,8,-2,72,0,0
Kyokutaisei,J6e,J3w,J5e,52,52,47,50,8,3,59,0,0
Toyohibiki,J2e,J4e,J5e,44,44,48,50,6,2,37.0001,0,0
Ryuden,J8w,J4w,J5w,57,57,49,51,9,2,71,0,0
Yamaguchi,J9e,J5e,J6e,58,58,50,52,9,2,70,0,0
Kotoyuki,M14w,J5w,J6e,38,38,51,52,4,1,32.019999999999996,0,0
Kyokushuho,J1w,J6e,J6w,43,43,52,53,5,1,34,0,0
Homarefuji,J10w,J6w,J7w,61,61,53,55,9,2,74,0,0
Hidenoumi,J2w,J7e,J7w,45,45,54,55,5,1,35,0,0
Amakaze,J7e,J7w,J8e,54,54,55,56,7,1,44,0,0
Meisei,J11w,J8e,J8w,63,63,56,57,9,1,62,0,0
Tsurugisho,J9w,J8w,J8w,59,59,57,57,8,0,59,0,0
Kotoeko,J7w,J9e,J8w,55,55,58,57,7,-1,54,0,0
Gagamaru,M16e,J9w,J9w,41,41,59,59,3,0,22.0026,0,0
Osunaarashi,J11e,J10e,J10e,62,62,60,60,8,0,61,0,0
Chiyoo,J3w,J10w,J10w,47,47,61,61,4,0,32,0,0
Chiyootori,J10e,J11e,J11e,60,60,62,62,7,0,52,0,0
Abi,J14e,J11w,J13e,68,68,63,66,8,3,61,0,0
Terutsuyoshi,J12w,J12e,J13w,65,65,64,67,7,3,50,0,0
Seiro,J6w,J12w,J13w,53,53,65,67,4,2,38,0,0
Kitataiki,J12e,J13e,N/A,64,64,66,74,5,8,36,0,0
Tobizaru,J14w,J13w,N/A,69,69,67,75,6,8,34,0,0
Rikishin,J13w,J14e,N/A,67,67,68,81,4,13,27,0,0
Satoyama,J13e,J14w,N/A,66,66,69,84,3,15,23,0,0
