Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,Old Rank Adj,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Terunofuji,Y1e,Y1e,M12e,0,0,0,22,2,22,25.424999999999997,0,0
Hoshoryu,O1w,O1e,N/A,2,2,1,-12,11,-13,136.60920000000002,4,5.7432
Kotonowaka,O2w,O1w,N/A,4,4,2,-6,10,-8,120.67580000000001,5,8.0328
Takakeisho,O2e,O2e,M1w,3,3,3,1,8,-2,97.19810000000001,2,3.5651
Kirishima,O1e,O2w,M6w,1,1,4,11,5,7,57.292899999999996,3,5.8547
Wakamotoharu,S1w,S1e,M1e,6,6,5,0,9,-5,100.0639,3,5.8547
Abi,K1e,S1w,M1w,7,7,6,1,9,-5,99.1267,5,9.0469
Onosato,M5w,K1e,M3e,18,18,7,4,11,-3,114.77300000000001,4,6.7573
Asanoyama,M1w,K1w,M3e,10,10,8,4,9,-4,106.34750000000001,5,8.7263
Atamifuji,M2e,M1e,M5w,11,11,9,9,8,0,92.098,3,5.8547
Takayasu,M8w,M1w,M6e,24,24,10,10,11,0,96.696,0,0
Gonoyama,M6w,M2e,M6e,20,20,11,10,10,-1,96.56210000000002,1,1.5961
Hiradoumi,M4w,M2w,M6e,16,16,12,10,9,-2,93.47160000000001,2,3.8857
Daieisho,S1e,M3e,M6w,5,5,13,11,6,-2,67.2982,3,5.1612
Tobizaru,M4e,M3w,M7w,15,15,14,13,8,-1,84.15580000000001,3,8.3692
Ura,M1e,M4e,M8w,9,9,15,15,6,0,72.6492,4,8.144300000000001
Oho,M3e,M4w,M8w,13,13,16,15,7,-1,61.21529999999999,3,6.6616
Onosho,M8e,M5e,M9w,23,23,17,17,9,0,91.7004,0,0
Meisei,M2w,M5w,M10e,12,12,18,18,6,0,58.7097,2,5.3861
Takerufuji,M17e,M6e,M10w,41,41,19,19,13,0,133.3749,3,5.1612
Midorifuji,M5e,M6w,M10w,17,17,20,19,7,-1,76.54929999999999,2,4.5792
Mitakeumi,M10w,M7e,M12e,28,28,21,22,9,1,81.5333,1,1.2755
Kotoshoho,M9w,M7w,M13e,26,26,22,24,8,2,62.3083,0,0
Tamawashi,M7w,M8e,M13e,22,22,23,24,7,1,55.379200000000004,0,0
Takanosho,M3w,M8w,M13e,14,14,24,24,5,0,42.480799999999995,3,7.3551
Shonannoumi,M12e,M9e,M13w,31,31,25,25,9,0,76.93270000000001,0,0
Shodai,M10e,M9w,M13w,27,27,26,25,8,-1,65.0218,0,0
Nishikigi,K1w,M10e,M14e,8,8,27,26,3,-1,24.887900000000002,1,3.79
Mitoryu,J2w,M10w,M14w,45,45,28,27,12,-1,103.0002,0,0
Sadanoumi,M11w,M11e,M15e,30,30,29,28,8,-1,57.64500000000001,0,0
Kinbozan,M7e,M11w,M14w,21,21,30,27,6,-3,49.481300000000005,1,2.2896
Ichiyamamoto,M11e,M12e,M16w,29,29,31,31,7,0,55.009100000000004,0,0
Hokutofuji,M9e,M12w,M16w,25,25,32,31,6,-1,48.3301,0,0
Nishikifuji,M14e,M13e,J1e,35,35,33,33,8,0,60.0311,0,0
Oshoma,J4w,M13w,J2e,49,49,34,35,11,1,106,0,0
Churanoumi,M13w,M14e,J2w,34,34,35,36,7,1,48.2852,0,0
Ryuden,M13e,M14w,J4e,33,33,36,39,6,3,43.0374,0,0
Tokihayate,J1e,M15e,J4w,42,42,37,40,8,3,66,0,0
Roga,M15w,M15w,J4w,38,38,38,40,7,2,50.2805,0,0
Tomokaze,J3w,M16e,J5e,47,47,39,41,9,2,74,0,0
Takarafuji,J1w,M16w,J5e,43,43,40,41,8,1,69,0,0
Tsurugisho,M6e,M17e,J5e,19,19,41,41,2,0,18.9257,0,0
Daiamami,M16w,J1e,J5w,40,40,42,42,7,0,53.00320000000001,0,0
Myogiryu,M15e,J1w,J6e,37,37,43,43,6,0,45.0037,0,0
Bushozan,J5e,J2e,J6w,50,50,44,44,9,0,73.0002,0,0
Daishoho,J7w,J2w,J7e,55,55,45,45,10,0,83,0,0
Chiyoshoma,J6w,J3e,J8e,53,53,46,47,9,1,66,0,0
Endo,M16e,J3w,J9e,39,39,47,49,5,2,37.0236,0,0
Asakoryu,J8e,J4e,J9w,56,56,48,50,9,2,74,0,0
Kagayaki,J4e,J4w,J9w,48,48,49,50,7,1,52,0,0
Tohakuryu,J2e,J5e,J9w,44,44,50,50,6,0,41.001599999999996,0,0
Shirokuma,J5w,J5w,J11e,51,51,51,53,7,2,58,0,0
Kitanowaka,M14w,J6e,J11w,36,36,52,54,3,2,23.0015,0,0
Wakatakakage,J10w,J6w,J12e,61,61,53,55,9,2,69,0,0
Shishi,J8w,J7e,J12e,57,57,54,55,8,1,63,0,0
Hidenoumi,J7e,J7w,J12w,54,54,55,56,7,1,42,0,0
Shimazuumi,M12w,J8e,N/A,32,32,56,62,0,6,0,0,0
Hakuoho,J13w,J8w,N/A,67,67,57,65,8,8,46,0,0
Shimanoumi,J9e,J9e,N/A,58,58,58,68,5,10,37,0,0
Chiyosakae,J14w,J9w,N/A,69,69,59,67,8,8,39,0,0
Shiden,J10e,J10e,N/A,60,60,60,62,7,2,47,0,0
Tamashoho,J9w,J10w,N/A,59,59,61,65,6,4,37,0,0
Oshoumi,J11e,J11e,N/A,62,62,62,68,6,6,38,0,0
Aoiyama,J11w,J11w,N/A,63,63,63,65,7,2,44,0,0
Hakuyozan,J6e,J12e,N/A,52,52,64,66,4,2,25,0,0
Tsushimanada,J12w,J12w,N/A,65,65,65,67,7,2,45,0,0
Akua,J13e,J13e,N/A,66,66,66,72,6,6,37,0,0
Hokuseiho,J3e,J13w,N/A,46,46,67,76,0,9,0,0,0
Kitaharima,J14e,J14e,N/A,68,68,68,82,4,14,22,0,0
Kotoeko,J12e,J14w,N/A,64,64,69,90,1,21,7,0,0
