Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,Old Rank Adj,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Wajima,Y1w,Y1e,N/A,1,1,0,-25,13,-25,147.6475,5,9.5332
Kitanoumi,Y1e,Y1w,N/A,0,0,1,-10,10,-11,90.9546,3,5.1612
Takanohana,O1e,O1e,N/A,2,2,2,-4,9,-6,88.24909999999998,2,5.0655
Mienoumi,O1w,O1w,M9w,3,3,3,25,2,22,14.545199999999998,1,1.2755
Asahikuni,S1e,S1e,N/A,4,4,4,-18,13,-22,147.43170000000003,4,8.9512
Washuyama,K1e,S1w,N/A,6,6,5,-4,10,-9,114.0729,4,8.9512
Arase,M1w,K1e,N/A,9,9,6,7,8,1,75.94170000000001,3,6.1753
Takamiyama,S1w,K1w,N/A,5,5,7,7,7,0,56.4467,3,5.8547
Wakamisugi,M4w,M1e,M1w,15,15,8,9,9,1,97.03740000000002,5,10.226700000000001
Kitaseumi,M11w,M1w,M2w,29,29,9,11,12,2,136.2203,3,6.6616
Daiju,M2e,M2e,M3e,10,10,10,12,7,2,68.0537,2,2.551
Masuiyama,M5e,M2w,M4e,16,16,11,14,8,3,62.3763,1,2.2896
Aobajo,M2w,M3e,M5w,11,11,12,17,6,5,54.7541,3,5.1612
Fujizakura,M7e,M3w,M6e,20,20,13,18,8,5,52.5376,0,0
Kaiketsu,M1e,M4e,M6e,8,8,14,18,5,4,46.409800000000004,1,3.79
Wakajishi,M13w,M4w,M6w,33,33,15,19,11,4,99.05170000000001,0,0
Yutakayama,M7w,M5e,M6w,21,21,16,19,8,3,65.0956,1,1.5961
Tamakiyama,M3w,M5w,M6w,13,13,17,19,6,2,47.8869,1,2.2896
Owashi,M10e,M6e,M7e,26,26,18,20,9,2,68.73060000000001,0,0
Hasegawa,M4e,M6w,M7e,14,14,19,20,6,1,49.920899999999996,2,3.5651
Kaneshiro,K1w,M7e,M7w,7,7,20,21,4,1,34.9431,0,0
Oshio,M13e,M7w,M8e,32,32,21,22,10,1,85.26700000000001,1,1.2755
Tochiazuma,M9w,M8e,M8w,25,25,22,23,8,1,62.3854,0,0
Banryuyama,J2e,M8w,M9e,38,38,23,24,11,1,103.0004,0,0
Kaiki,M14w,M9e,M9w,35,35,24,25,10,1,79.0157,0,0
Kongo,M10w,M9w,M9w,27,27,25,25,8,0,60.150400000000005,0,0
Kurohimeyama,M6w,M10e,M9w,19,19,26,25,6,-1,46.326299999999996,0,0
Futagodake,M11e,M10w,M10e,28,28,27,26,8,-1,61.217699999999994,0,0
Futatsuryu,M3e,M11e,M10e,12,12,28,26,4,-2,21.973,0,0
Tamanofuji,M5w,M11w,M10w,17,17,29,27,5,-2,40.509100000000004,0,0
Konuma,M14e,M12e,M11e,34,34,30,28,9,-2,79.11789999999999,0,0
Kirinji,M8e,M12w,M11e,22,22,31,28,6,-3,55.998,0,0
Taiga,M6e,M13e,M11e,18,18,32,28,5,-4,29.514699999999998,0,0
Aobayama,M8w,M13w,M11w,23,23,33,29,6,-4,34.1802,0,0
Dairyugawa,J1w,M14e,M12w,37,37,34,31,9,-3,78.0004,0,0
Haguroiwa,J1e,M14w,M14e,36,36,35,34,8,-1,55.0048,0,0
Tenryu,J4w,M15e,M13w,43,43,36,33,10,-3,87.0009,0,0
Wakanoumi,J2w,M15w,M13w,39,39,37,33,9,-4,73.0009,0,0
Takanosato,J6w,M16e,M17w,47,47,38,41,9,3,70,0,0
Ryuo,M12w,M16w,M17w,31,31,39,41,5,2,42.3275,0,0
Kotogatake,J5e,M17e,J1e,44,44,40,42,8,2,63,0,0
Daigo,J5w,M17w,J1w,45,45,41,43,8,2,73.0004,0,0
Kotokaze,J7w,J1e,J1w,49,49,42,43,9,1,70,0,0
Kurama,J4e,J1w,J2e,42,42,43,44,7,1,51,0,0
Kotonofuji,M9e,J2e,J3e,24,24,44,46,2,2,20.0394,0,0
Shiratayama,J8e,J2w,J4e,50,50,45,48,8,3,58,0,0
Asanobori,J6e,J3e,J4e,46,46,46,48,7,2,55.0004,0,0
Mutsuarashi,M12e,J3w,J4e,30,30,47,48,3,1,13.0009,0,0
Chiyozakura,J8w,J4e,J4w,51,51,48,49,8,1,65,0,0
Dewanohana,J11e,J4w,J5e,56,56,49,50,9,1,67,0,0
Onishiki,J7e,J5e,J5e,48,48,50,50,7,0,46,0,0
Maruyama,J3w,J5w,J5w,41,41,51,51,5,0,27.0003,0,0
Daio,J10e,J6e,J6e,54,54,52,52,8,0,58,0,0
Tochiisami,J9e,J6w,J7e,52,52,53,54,7,1,56,0,0
Oshinoyama,J13w,J7e,J7w,61,61,54,55,9,1,65,0,0
Adachi,J9w,J7w,J7w,53,53,55,55,7,0,44,0,0
Onobori,J12e,J8e,J8e,58,58,56,56,8,0,51.0004,0,0
Katsunishiki,J3e,J8w,J9e,40,40,57,58,3,1,25,0,0
Matsuoka,J13e,J9e,J11e,60,60,58,62,7,4,54,0,0
Kenryu,J12w,J9w,J12w,59,59,59,65,6,6,30,0,0
Iwatora,J11w,J10e,N/A,57,57,60,75,3,15,11,0,0
Kiyonohana,J10w,J10w,N/A,55,55,61,77,2,16,16,0,0
