Name,Old Rank Title,New Rank Title,"""True Rank"" Title",Old Rank,Old Rank Adj,New Rank,True Rank,Wins,Signed Diff,Weighted Neustadl,Sanyaku Defeated Score Raw,Sanyaku Defeated Score Weighted
Hakuho,Y1e,Y1e,M11w,0,1,0,31,0,31,0,0,0
Kakuryu,Y1w,Y1w,M12e,1,2,1,32,0,31,0,0,0
Shodai,O1w,O1e,N/A,3,4,2,-10,11,-12,100.25110000000002,2,2.8716
Asanoyama,O2e,O1w,N/A,4,5,3,-9,11,-12,105.54449999999999,3,5.1612
Takakeisho,O1e,O2e,M8w,2,3,4,25,2,21,8.060099999999998,0,0
Terunofuji,S1e,S1e,N/A,5,6,5,-8,11,-13,104.29939999999999,3,5.8547
Takanosho,S1w,S1w,N/A,6,7,6,1,9,-5,91.15459999999999,3,4.1471
Daieisho,M1w,K1e,N/A,10,11,7,-11,13,-18,137.6137,7,12.612000000000002
Takayasu,K1e,K1w,N/A,7,8,8,2,9,-6,86.7368,2,2.8716
Mitakeumi,K1w,K2e,N/A,8,9,9,3,9,-6,87.5085,3,6.8688
Takarafuji,M2e,M1e,N/A,11,12,10,6,9,-4,90.8828,3,5.8547
Onosho,M3w,M1w,N/A,14,15,11,9,9,-2,98.4254,4,6.7573
Hokutofuji,M1e,M2e,M2e,9,10,12,12,7,0,41.0368,1,2.2896
Meisei,M7e,M2w,M6e,21,22,13,20,8,7,65.97460000000001,0,0
Kiribayama,M8w,M3e,M7w,24,25,14,23,8,9,65.7949,0,0
Myogiryu,M9w,M3w,M8w,26,27,15,25,8,10,54.8445,0,0
Shimanoumi,M10e,M4e,M7e,27,28,16,22,9,6,79.16340000000001,0,0
Tamawashi,M4w,M4w,M7w,16,17,17,23,6,6,48.932500000000005,2,3.8857
Endo,M5e,M5e,M6e,17,18,18,20,7,2,56.8197,2,3.5651
Okinoumi,M5w,M5w,M6w,18,19,19,21,7,2,48.547200000000004,2,3.5651
Ichinojo,M12e,M6e,M9e,31,32,20,26,9,6,83.15379999999999,0,0
Kagayaki,M6w,M6w,M9w,20,21,21,27,6,6,58.300599999999996,1,1.5961
Kotonowaka,M15w,M7e,M10w,38,39,22,29,10,7,81.20599999999999,0,0
Tobizaru,M7w,M7w,M10w,22,23,23,29,6,6,35.830299999999994,0,0
Hoshoryu,M14e,M8e,M11e,35,36,24,30,9,6,73.1872,0,0
Tochinoshin,M4e,M8w,M11e,15,16,25,30,4,5,34.616,0,0
Midorifuji,M14w,M9e,M11w,36,37,26,31,9,5,68.087,0,0
Ryuden,M6e,M9w,M13e,19,20,27,34,4,7,30.469399999999997,0,0
Akiseyama,M16w,M10e,M13w,40,41,28,35,9,7,70.11179999999999,0,0
Aoiyama,M10w,M10w,M13w,28,29,29,35,6,6,44.2139,0,0
Kotoshoho,M3e,M11e,M14e,13,14,30,36,2,6,10.004,0,0
Kotoeko,M11w,M11w,M14w,30,31,31,37,6,6,46.08659999999999,0,0
Tsurugisho,J8e,M12e,M15w,56,57,32,39,12,7,94,0,0
Terutsuyoshi,M12w,M12w,M13w,32,33,33,35,7,2,44.204299999999996,0,0
Hidenoumi,J6w,M13e,M16e,53,54,34,40,11,6,85.03330000000001,0,0
Daiamami,J1w,M13w,J1e,43,44,35,42,8,7,63.0011,0,0
Tokushoryu,M8e,M14e,J1e,23,24,36,42,3,6,22.616899999999998,0,0
Wakatakakage,M2w,M14w,J1w,12,13,37,43,0,6,0,0,0
Yutakayama,M15e,M15e,M16e,37,38,38,40,7,2,54.065999999999995,0,0
Daishomaru,J8w,M15w,J2e,57,58,39,44,11,5,74.00389999999999,0,0
Akua,M13e,M16e,J2e,33,34,40,44,5,4,26.206099999999996,0,0
Ura,J10e,M16w,J5w,60,61,41,51,10,10,71,0,0
