Start Rank,End Rank,Wins,Number of Resulting Banzuke at End Rank,Sanyaku Results
s1e,s1w,9,7,"[{""y"": 1, ""o"": 2, ""s"": 1, ""k"": 2}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 2}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 1, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 2, ""s"": 1, ""k"": 2}, {""y"": 0, ""o"": 2, ""s"": 0, ""k"": 2}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 1}]"
s1e,s1w,10,4,"[{""y"": 1, ""o"": 3, ""s"": 0, ""k"": 3}, {""y"": 0, ""o"": 1, ""s"": 3, ""k"": 1}, {""y"": 0, ""o"": 1, ""s"": 1, ""k"": 1}, {""y"": 1, ""o"": 1, ""s"": 0, ""k"": 2}]"
s1e,s1w,11,2,"[{""y"": 1, ""o"": 1, ""s"": 1, ""k"": 1}, {""y"": 1, ""o"": 2, ""s"": 0, ""k"": 2}]"
s1e,s1w,12,1,"[{""y"": 0, ""o"": 1, ""s"": 1, ""k"": 1}]"
,,TOTAL,39,
#,#,#,#,#
s1e,s2e,8,7,"[{""y"": 0, ""o"": 0, ""s"": 1, ""k"": 0}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 2}, {""y"": 0, ""o"": 1, ""s"": 1, ""k"": 0}, {""y"": 1, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 2, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 2, ""s"": 0, ""k"": 2}, {""y"": 0, ""o"": 2, ""s"": 0, ""k"": 2}]"
s1e,s2e,9,2,"[{""y"": 0, ""o"": 1, ""s"": 0, ""k"": 4}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 2}]"
,,TOTAL,9,
#,#,#,#,#
s1e,s2w,8,2,"[{""y"": 1, ""o"": 2, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 2, ""s"": 0, ""k"": 1}]"
,,TOTAL,2,
#,#,#,#,#
s1e,s3e,8,1,"[{""y"": 1, ""o"": 0, ""s"": 0, ""k"": 2}]"
,,TOTAL,1,
#,#,#,#,#
s1e,k1e,7,19,"[{""y"": 0, ""o"": 0, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 2}, {""y"": 0, ""o"": 2, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 2}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 0}, {""y"": 1, ""o"": 0, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 2}, {""y"": 0, ""o"": 2, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 1, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 0}, {""y"": 1, ""o"": 2, ""s"": 1, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 2, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 3, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 2}]"
,,TOTAL,19,
#,#,#,#,#
s1e,k1w,7,14,"[{""y"": 0, ""o"": 1, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 2, ""s"": 1, ""k"": 0}, {""y"": 2, ""o"": 1, ""s"": 0, ""k"": 2}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 2}, {""y"": 0, ""o"": 2, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 2, ""s"": 0, ""k"": 0}, {""y"": 1, ""o"": 0, ""s"": 1, ""k"": 2}, {""y"": 0, ""o"": 1, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 0}, {""y"": 0, ""o"": 1, ""s"": 1, ""k"": 1}, {""y"": 1, ""o"": 0, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 1, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
,,TOTAL,14,
#,#,#,#,#
s1e,k2e,7,1,"[{""y"": 0, ""o"": 2, ""s"": 0, ""k"": 0}]"
,,TOTAL,1,
#,#,#,#,#
s1e,m1e,5,1,"[{""y"": 0, ""o"": 1, ""s"": 1, ""k"": 0}]"
s1e,m1e,6,11,"[{""y"": 0, ""o"": 0, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 1, ""s"": 1, ""k"": 2}, {""y"": 0, ""o"": 2, ""s"": 1, ""k"": 1}, {""y"": 1, ""o"": 0, ""s"": 2, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 3, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 3, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 2}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 2}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 0}]"
s1e,m1e,7,2,"[{""y"": 0, ""o"": 1, ""s"": 2, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 1}]"
,,TOTAL,14,
#,#,#,#,#
s1e,m1w,4,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 2}]"
s1e,m1w,5,4,"[{""y"": 1, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 2}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 0}]"
s1e,m1w,6,11,"[{""y"": 1, ""o"": 1, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 2}, {""y"": 0, ""o"": 2, ""s"": 1, ""k"": 0}, {""y"": 1, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 2}, {""y"": 1, ""o"": 2, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 1, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
,,TOTAL,16,
#,#,#,#,#
s1e,m2e,5,3,"[{""y"": 1, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 1, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 2, ""s"": 0, ""k"": 0}]"
s1e,m2e,6,1,"[{""y"": 0, ""o"": 1, ""s"": 1, ""k"": 0}]"
,,TOTAL,4,
#,#,#,#,#
s1e,m2w,5,1,"[{""y"": 0, ""o"": 1, ""s"": 0, ""k"": 0}]"
s1e,m2w,6,4,"[{""y"": 0, ""o"": 0, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 2}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 2}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}]"
,,TOTAL,5,
#,#,#,#,#
s1e,m3e,4,1,"[{""y"": 0, ""o"": 1, ""s"": 0, ""k"": 1}]"
s1e,m3e,5,2,"[{""y"": 0, ""o"": 3, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 1, ""s"": 1, ""k"": 0}]"
,,TOTAL,3,
#,#,#,#,#
s1e,m3w,3,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
s1e,m3w,4,1,"[{""y"": 0, ""o"": 0, ""s"": 1, ""k"": 2}]"
s1e,m3w,5,2,"[{""y"": 0, ""o"": 1, ""s"": 0, ""k"": 0}, {""y"": 1, ""o"": 0, ""s"": 0, ""k"": 0}]"
,,TOTAL,4,
#,#,#,#,#
s1e,m4e,4,7,"[{""y"": 0, ""o"": 0, ""s"": 1, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 2, ""s"": 0, ""k"": 0}, {""y"": 1, ""o"": 0, ""s"": 1, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 1, ""o"": 1, ""s"": 0, ""k"": 0}, {""y"": 1, ""o"": 1, ""s"": 1, ""k"": 1}]"
s1e,m4e,5,1,"[{""y"": 0, ""o"": 1, ""s"": 1, ""k"": 0}]"
,,TOTAL,8,
#,#,#,#,#
s1e,m4w,4,3,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 0}]"
,,TOTAL,3,
#,#,#,#,#
s1e,m5e,3,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}]"
s1e,m5e,4,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
,,TOTAL,2,
#,#,#,#,#
s1e,m5w,3,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}]"
,,TOTAL,1,
#,#,#,#,#
s1e,m6e,4,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}]"
,,TOTAL,1,
#,#,#,#,#
s1e,m6w,3,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}]"
,,TOTAL,1,
#,#,#,#,#
s1e,m7w,3,1,"[{""y"": 1, ""o"": 0, ""s"": 0, ""k"": 1}]"
,,TOTAL,1,
#,#,#,#,#
s1e,m8e,3,1,"[{""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}]"
,,TOTAL,1,
#,#,#,#,#
s1e,m8w,3,1,"[{""y"": 1, ""o"": 1, ""s"": 0, ""k"": 0}]"
,,TOTAL,1,
#,#,#,#,#
s1w,s1e,8,26,"[{""y"": 0, ""o"": 2, ""s"": 0, ""k"": 1}, {""y"": 1, ""o"": 1, ""s"": 1, ""k"": 1}, {""y"": 1, ""o"": 2, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 2}, {""y"": 1, ""o"": 1, ""s"": 1, ""k"": 2}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 3}, {""y"": 1, ""o"": 2, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 2, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 2}, {""y"": 2, ""o"": 2, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 3, ""s"": 0, ""k"": 2}, {""y"": 1, ""o"": 1, ""s"": 0, ""k"": 0}, {""y"": 1, ""o"": 2, ""s"": 0, ""k"": 2}, {""y"": 1, ""o"": 2, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 1, ""s"": 1, ""k"": 3}, {""y"": 1, ""o"": 0, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 2, ""s"": 1, ""k"": 2}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 2}, {""y"": 1, ""o"": 3, ""s"": 0, ""k"": 2}, {""y"": 0, ""o"": 2, ""s"": 1, ""k"": 2}, {""y"": 1, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 1, ""o"": 1, ""s"": 0, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 0}]"
s1w,s1e,9,32,"[{""y"": 0, ""o"": 1, ""s"": 1, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 1, ""k"": 2}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 2}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 1, ""o"": 0, ""s"": 0, ""k"": 0}, {""y"": 1, ""o"": 2, ""s"": 0, ""k"": 2}, {""y"": 0, ""o"": 1, ""s"": 1, ""k"": 2}, {""y"": 0, ""o"": 1, ""s"": 1, ""k"": 2}, {""y"": 0, ""o"": 2, ""s"": 1, ""k"": 1}, {""y"": 2, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 2}, {""y"": 0, ""o"": 3, ""s"": 1, ""k"": 2}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 2, ""k"": 2}, {""y"": 0, ""o"": 1, ""s"": 1, ""k"": 0}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 2}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 0}, {""y"": 2, ""o"": 1, ""s"": 1, ""k"": 0}, {""y"": 0, ""o"": 3, ""s"": 1, ""k"": 2}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 2}, {""y"": 0, ""o"": 3, ""s"": 1, ""k"": 2}, {""y"": 0, ""o"": 2, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 1, ""s"": 0, ""k"": 4}, {""y"": 1, ""o"": 3, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 2, ""s"": 0, ""k"": 2}, {""y"": 1, ""o"": 3, ""s"": 1, ""k"": 0}, {""y"": 2, ""o"": 0, ""s"": 1, ""k"": 2}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 0, ""s"": 0, ""k"": 1}, {""y"": 0, ""o"": 2, ""s"": 0, ""k"": 1}]"
